# tau [ps];  F2NO4S2 [ps*S/m];  F2NO4S2-var [ps^2*S^2/m^2];  C4H10O2 [ps*S/m];  C4H10O2-var [ps^2*S^2/m^2];  Li [ps*S/m];  Li-var [ps^2*S^2/m^2];  F2NO4S2/F2NO4S2 [ps*S/m];  F2NO4S2/F2NO4S2-var [ps^2*S^2/m^2];  C4H10O2/C4H10O2 [ps*S/m];  C4H10O2/C4H10O2-var [ps^2*S^2/m^2];  Li/Li [ps*S/m];  Li/Li-var [ps^2*S^2/m^2];  F2NO4S2/C4H10O2 [ps*S/m];  F2NO4S2/C4H10O2-var [ps^2*S^2/m^2];  F2NO4S2/Li [ps*S/m];  F2NO4S2/Li-var [ps^2*S^2/m^2];  C4H10O2/Li [ps*S/m];  C4H10O2/Li-var [ps^2*S^2/m^2];  total [ps*S/m];  total-var [ps^2*S^2/m^2]
14370.000000;  7917.034052;  143.820205;  1096.073656;  0.219292;  23057.218768;  966.985167;  787.460650;  9812.654628;  -798.441007;  11.537408;  -4101.256833;  56631.853966;  -3218.088553;  1463.081517;  -14143.590010;  62238.229626;  2716.607475;  2162.438163;  13313.018198;  29772.034168
14400.000000;  7933.616105;  144.645398;  1098.353060;  0.219735;  23104.710483;  968.847487;  793.235257;  9857.400697;  -799.960351;  11.592905;  -4097.603714;  56855.665313;  -3226.329590;  1470.187241;  -14173.626720;  62392.543213;  2722.460907;  2167.754162;  13354.855436;  29929.540401
14430.000000;  7950.158195;  145.407871;  1100.635414;  0.220231;  23152.394390;  970.950173;  799.434084;  9898.851926;  -801.470013;  11.643793;  -4091.480495;  57130.105531;  -3234.709751;  1476.785224;  -14203.527369;  62585.783088;  2728.310198;  2174.425254;  13399.744652;  30122.480324
14460.000000;  7966.662715;  146.094351;  1102.917744;  0.220622;  23200.048228;  972.625263;  806.523109;  9946.825407;  -802.950213;  11.702432;  -4084.895235;  57408.215691;  -3243.406817;  1484.268271;  -14235.249805;  62828.585617;  2734.493868;  2182.804950;  13444.143594;  30311.752855
14490.000000;  7983.125714;  146.803270;  1105.199072;  0.220980;  23247.781639;  974.791602;  813.417352;  9993.840813;  -804.437662;  11.759676;  -4079.099350;  57704.748378;  -3252.015596;  1491.666355;  -14266.348494;  63063.962009;  2740.558709;  2190.875520;  13488.181386;  30560.306278
14520.000000;  7999.565806;  147.462122;  1107.481769;  0.221169;  23295.312365;  976.735394;  819.677999;  10040.868232;  -805.948446;  11.816516;  -4073.941099;  57961.810814;  -3260.384255;  1499.040656;  -14297.051421;  63295.453987;  2746.545138;  2198.787793;  13531.257857;  30772.993742
14550.000000;  8015.980453;  148.124374;  1109.763309;  0.221385;  23343.010585;  979.144685;  825.766334;  10089.002212;  -807.464611;  11.873877;  -4067.788170;  58264.585778;  -3268.680915;  1506.546534;  -14327.720711;  63509.050453;  2752.534441;  2206.137607;  13575.400715;  31007.979805
14580.000000;  8032.434451;  148.758604;  1112.043703;  0.221607;  23390.618742;  981.379099;  831.392463;  10136.848372;  -808.992312;  11.931091;  -4061.722832;  58579.947495;  -3276.830949;  1513.894199;  -14360.213557;  63712.135665;  2758.853731;  2213.161910;  13617.583439;  31238.199418
14610.000000;  8048.901187;  149.410900;  1114.323937;  0.221785;  23438.097596;  983.718625;  837.450646;  10188.014148;  -810.504329;  11.993139;  -4056.442490;  58896.382791;  -3285.147327;  1521.708717;  -14393.921359;  63934.112128;  2765.386724;  2220.863108;  13658.144585;  31452.308345
14640.000000;  8065.389986;  150.083147;  1116.603157;  0.221961;  23485.710726;  986.222389;  843.301279;  10237.388325;  -812.021094;  12.052861;  -4050.443960;  59203.548787;  -3293.398214;  1529.302909;  -14428.125343;  64141.448905;  2772.016469;  2228.022889;  13699.033007;  31680.942658
14670.000000;  8081.847157;  150.742376;  1118.886085;  0.222095;  23533.312858;  988.444347;  848.970109;  10287.854690;  -813.549179;  12.111979;  -4045.652186;  59509.776042;  -3301.568524;  1536.889710;  -14461.550748;  64335.922869;  2778.495323;  2234.727262;  13739.190895;  31918.085073
