time;anion_self;anion_self_std;cation_self;cation_self_std;anion_cross;anion_cross_std;cation_cross;cation_cross_std;anion_cation;anion_cation_std;total_eh;total_eh_std
   1158.00000000;    355.82175260;      2.90183983;    560.94909500;      2.49983804;   -294.73378800;      6.74716197;   -173.03119000;     37.70433184;    307.87734660;     29.55283237;    756.88321600;     72.65248589
   1159.00000000;    356.07144380;      2.90415783;    561.37080700;      2.50281103;   -294.93310420;      6.74901431;   -173.13301040;     37.71144152;    308.13123400;     29.55734048;    757.50737080;     72.66356847
   1160.00000000;    356.32144280;      2.90679388;    561.79355060;      2.50433860;   -295.13686920;      6.75467305;   -173.26215900;     37.74254502;    308.36424900;     29.58215455;    758.08021400;     72.72457198
   1161.00000000;    356.57121340;      2.90747640;    562.21529040;      2.50372636;   -295.34232300;      6.75904746;   -173.40248580;     37.77648366;    308.58759920;     29.60923780;    758.62929420;     72.79115245
   1162.00000000;    356.82343400;      2.90845977;    562.63893180;      2.50373016;   -295.54701200;      6.76536282;   -173.52429320;     37.81010019;    308.82715380;     29.63590800;    759.21821400;     72.85671822
   1163.00000000;    357.07425420;      2.90660203;    563.06045660;      2.50282530;   -295.75074940;      6.76286878;   -173.64683480;     37.79553422;    309.06444660;     29.62547335;    759.80157320;     72.83106419
   1164.00000000;    357.32300740;      2.90780980;    563.48302900;      2.50358028;   -295.95304420;      6.76960683;   -173.77438000;     37.82901348;    309.29859700;     29.65036429;    760.37720920;     72.89225735
   1165.00000000;    357.57089760;      2.90888008;    563.90338680;      2.50276097;   -296.15909060;      6.77873393;   -173.92902420;     37.87827897;    309.50948460;     29.68803319;    760.89565380;     72.98486222
   1166.00000000;    357.81965340;      2.90974551;    564.32466600;      2.50385135;   -296.36232060;      6.77868411;   -174.06121060;     37.87736692;    309.73892880;     29.68624244;    761.45971700;     72.98046168
   1167.00000000;    358.07086540;      2.90964825;    564.74925360;      2.50472468;   -296.56821760;      6.78129422;   -174.19804100;     37.91090249;    309.96731220;     29.71185723;    762.02117220;     73.04343363
   1168.00000000;    358.32184960;      2.90693295;    565.17209960;      2.50505425;   -296.77056540;      6.78288144;   -174.31203840;     37.92390909;    310.21243500;     29.72164815;    762.62378020;     73.06750400
   1169.00000000;    358.57250080;      2.90456249;    565.59431040;      2.50421253;   -296.97400240;      6.78185171;   -174.43442960;     37.91682459;    310.45039080;     29.71330607;    763.20877040;     73.04699496
   1170.00000000;    358.82394900;      2.90675760;    566.01743880;      2.50453277;   -297.17681840;      6.78777416;   -174.54873440;     37.96894180;    310.69549280;     29.75548416;    763.81132780;     73.15068645
   1171.00000000;    359.07410860;      2.90756537;    566.43989740;      2.50470286;   -297.38291680;      6.79143861;   -174.69139660;     37.98189271;    310.91755860;     29.76281410;    764.35725140;     73.16870591
   1172.00000000;    359.32608100;      2.90850454;    566.86212740;      2.50429111;   -297.58707360;      6.79881772;   -174.80998840;     38.00919758;    311.15854520;     29.78150757;    764.94969180;     73.21466143
   1173.00000000;    359.57717420;      2.90698993;    567.28407220;      2.50301113;   -297.78906860;      6.79712751;   -174.92015320;     37.99377466;    311.40599400;     29.76664202;    765.55801840;     73.17811857
   1174.00000000;    359.83047580;      2.90678661;    567.70988360;      2.50322755;   -297.99170900;      6.79957252;   -175.02425640;     38.01641170;    311.66132260;     29.78388864;    766.18571720;     73.22051484
   1175.00000000;    360.08329020;      2.90470352;    568.13189380;      2.50218408;   -298.19863980;      6.79815494;   -175.15490140;     38.01405058;    311.89256980;     29.78243136;    766.75421240;     73.21693446
   1176.00000000;    360.33683640;      2.90682079;    568.55653580;      2.50139826;   -298.40311580;      6.80259512;   -175.26793680;     38.03821724;    312.13987960;     29.80300929;    767.36219880;     73.26752430
   1177.00000000;    360.59056540;      2.91002866;    568.97964660;      2.50309687;   -298.60820440;      6.80748984;   -175.38217500;     38.05843718;    312.38502280;     29.81681672;    767.96485540;     73.30146631
   1178.00000000;    360.84330480;      2.91419694;    569.40131540;      2.50500358;   -298.81838900;      6.81571451;   -175.53361660;     38.09676605;    312.59949340;     29.84516885;    768.49210760;     73.37116665
   1179.00000000;    361.09590160;      2.91647126;    569.82461840;      2.50604826;   -299.02227900;      6.81940452;   -175.64761980;     38.10005426;    312.84497320;     29.84617103;    769.09559440;     73.37362843
   1180.00000000;    361.34476020;      2.91769220;    570.24477100;      2.50789091;   -299.22418060;      6.82287551;   -175.76958920;     38.12948959;    313.08163160;     29.86955141;    769.67739300;     73.43110747
   1181.00000000;    361.59274660;      2.92065966;    570.66589340;      2.50886768;   -299.42650180;      6.82530399;   -175.90073060;     38.15017322;    313.31177820;     29.88615124;    770.24318560;     73.47191527
   1182.00000000;    361.84125140;      2.92192477;    571.08890620;      2.51069008;   -299.63092800;      6.83333785;   -176.04383200;     38.18820447;    313.53393380;     29.91200975;    770.78933180;     73.53548580
   1183.00000000;    362.09180180;      2.92563944;    571.51192240;      2.51241167;   -299.83526340;      6.84155430;   -176.17337800;     38.21355657;    313.76685120;     29.93014742;    771.36193420;     73.58007463
   1184.00000000;    362.34116440;      2.92771826;    571.93325220;      2.51353753;   -300.03748820;      6.84886299;   -176.29537140;     38.25215596;    314.00442340;     29.95883139;    771.94598020;     73.65059156
   1185.00000000;    362.58960380;      2.92802443;    572.35573980;      2.51441629;   -300.23705700;      6.85149479;   -176.40752300;     38.26843816;    314.25072660;     29.96938757;    772.55148960;     73.67654259
   1186.00000000;    362.84098180;      2.93033958;    572.77686500;      2.51413954;   -300.44489980;      6.85898616;   -176.55219520;     38.31327569;    314.47013820;     30.00239869;    773.09088960;     73.75769738
   1187.00000000;    363.09349020;      2.93146709;    573.20136320;      2.51499111;   -300.65346160;      6.86444609;   -176.69762480;     38.34739076;    314.69162580;     30.02714864;    773.63539300;     73.81854248
   1188.00000000;    363.34711460;      2.93389748;    573.62536320;      2.51587402;   -300.85908280;      6.87011926;   -176.81680120;     38.37810642;    314.93355500;     30.05025355;    774.23014880;     73.87534260
   1189.00000000;    363.59867840;      2.93955158;    574.04849680;      2.51928943;   -301.05866340;      6.87699898;   -176.90983220;     38.39871125;    315.19554700;     30.06286237;    774.87422720;     73.90633925
   1190.00000000;    363.84881940;      2.94376150;    574.47234160;      2.52427939;   -301.26543620;      6.88348493;   -177.05828140;     38.40915220;    315.41411780;     30.06820614;    775.41156080;     73.91947705
   1191.00000000;    364.09786760;      2.94822301;    574.89455940;      2.52724607;   -301.46637620;      6.88970990;   -177.17500580;     38.43297365;    315.65657820;     30.08359332;    776.00762340;     73.95730605
   1192.00000000;    364.34887220;      2.95136685;    575.31780660;      2.52628829;   -301.67143980;      6.89418766;   -177.30652340;     38.45013798;    315.88811460;     30.09609543;    776.57683020;     73.98804197
   1193.00000000;    364.59917920;      2.95539456;    575.74214040;      2.52707230;   -301.87507900;      6.89641690;   -177.43451000;     38.45252636;    316.12331560;     30.09629563;    777.15504600;     73.98853384
   1194.00000000;    364.85048580;      2.95546541;    576.16428860;      2.52689997;   -302.08070060;      6.89940353;   -177.56655160;     38.47657029;    316.35356380;     30.11430767;    777.72108620;     74.03281489
   1195.00000000;    365.10215360;      2.95753424;    576.58619480;      2.52522051;   -302.28454660;      6.90182904;   -177.68478080;     38.49347359;    316.59458080;     30.12753806;    778.31360160;     74.06534233
   1196.00000000;    365.35124600;      2.95758351;    577.00684540;      2.52484364;   -302.48591200;      6.90641001;   -177.80236120;     38.51486721;    316.83511840;     30.14540920;    778.90493600;     74.10927674
   1197.00000000;    365.59952760;      2.95847390;    577.42745600;      2.52434041;   -302.68649340;      6.91051475;   -177.92006700;     38.53675234;    317.07552500;     30.16039482;    779.49594880;     74.14611819
   1198.00000000;    365.85090360;      2.96081601;    577.85048760;      2.52562848;   -302.89244620;      6.91585701;   -178.05465620;     38.55148538;    317.30445160;     30.16785921;    780.05874060;     74.16446791
   1199.00000000;    366.10236080;      2.96566829;    578.27239780;      2.52942258;   -303.09979560;      6.92080516;   -178.19647960;     38.56262322;    317.52674900;     30.17426523;    780.60523220;     74.18021680
   1200.00000000;    366.35562080;      2.97030083;    578.69833740;      2.53270593;   -303.30415100;      6.92509811;   -178.31186400;     38.57579579;    317.77322580;     30.18148194;    781.21116960;     74.19795903
   1201.00000000;    366.60786020;      2.97604620;    579.12231920;      2.53683306;   -303.51029280;      6.93319869;   -178.44311740;     38.60504032;    318.00555320;     30.20497531;    781.78232260;     74.25571488
   1202.00000000;    366.85820060;      2.98068757;    579.54461520;      2.53866999;   -303.71376780;      6.93685905;   -178.56780880;     38.61216028;    318.24175220;     30.20838800;    782.36299220;     74.26410603
   1203.00000000;    367.10674580;      2.98605392;    579.96502000;      2.54133474;   -303.91839660;      6.94166291;   -178.70934220;     38.62793270;    318.46308360;     30.21843414;    782.90711080;     74.28880357
   1204.00000000;    367.35725920;      2.98932952;    580.38573720;      2.54399788;   -304.12407200;      6.94360542;   -178.84532960;     38.63664229;    318.68906240;     30.22463676;    783.46265660;     74.30405233
   1205.00000000;    367.60525140;      2.99080864;    580.80666880;      2.54455588;   -304.32491120;      6.94691862;   -178.96683180;     38.64037150;    318.92671040;     30.22487966;    784.04688840;     74.30464807
